objectid,filename,,,title,creator,date,description,subject,,,,,,,format,,rights,rightsstatement
coll001,colors_height_chart.png,,,Colors Height Chart,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a height chart for nine characters.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll002,vesta_img.png,,,Vesta Reference Image,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a character.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll003,peony_img.png,,,Peony Reference Image,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a character.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll004,tabitha_img.png,,,Tabitha Reference Image,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a character.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll005,dahlia_img.png,,,Dahlia Reference Image,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a character.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll006,vera_img.png,,,Vera Reference Image,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a character.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll007,selene_img.png,,,Selene Reference Image,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a character.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll008,rusty_img.png,,,Rusty Reference Image,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a character.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll009,minnie_img.png,,,Minnie Reference Image,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a character.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll010,emery_img.png,,,Emery Reference Image,Ty Isakson/tycutiovevo,2024-09-14,Digital image of a character.,cartoons;characters;illustrations;animation,,,,,,,image/png,,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en